# <Puzzle index>	<Unsolved percentage>	<Average solve time (ms)>
290	0.75	77564.13401197642
291	1.0	-1
292	0.75	81110.5715460144
293	1.0	-1
294	0.75	54559.60774095729
295	0.5	22415.659085614607
296	0.0	42583.546399953775
297	0.5	16194.471982074901
298	1.0	-1
299	0.75	23637.54837727174
300	1.0	-1
301	0.0	10200.36939845886
302	0.0	59198.68369435426
303	0.25	43876.289045748614
304	0.25	26357.40049602464
305	0.25	45012.564366062485
306	0.75	52022.128091193736
307	0.75	65723.5570307821
308	1.0	-1
309	0.0	17915.827387594618
310	0.5	47455.89019963518
311	0.0	34274.06394178979
312	0.0	46615.60196697246
313	0.75	87532.10903797299
314	0.0	25280.12294624932
315	0.0	28037.515189964324
316	0.0	54226.94362944458
317	0.5	42701.0903195478
318	0.0	20977.021778584458
319	0.0	16913.94931508694
320	0.5	26970.96708184108
321	0.0	49049.312960822135
322	0.5	30323.763280408457
323	0.0	40332.30103796814
324	0.5	54177.54092020914
325	1.0	-1
326	1.0	-1
327	0.0	39435.20271242596
328	0.0	29862.07678890787
329	1.0	-1
330	0.0	36742.35232232604
331	0.0	18364.738485426642
332	0.0	28054.03919063974
333	1.0	-1
334	0.0	17844.684128416702
335	1.0	-1
336	0.0	13981.381819117814
337	0.0	43329.83706903178
338	1.0	-1
339	1.0	-1
340	0.0	26705.79480298329
341	0.5	21064.047847641632
342	0.25	39924.09828150024
343	1.0	-1
344	0.0	18914.9128862191
345	0.75	23911.03419708088
346	0.25	24514.528058934957
347	0.0	25112.326618633233
348	0.25	53524.00910031671
349	0.25	22367.25292308256
350	0.0	24108.733672299422
351	0.0	5738.280262215994
352	0.25	36757.533833229296
353	0.0	26635.02438168507
354	0.0	54894.89256264642
355	0.0	29956.761204637587
356	0.0	32087.50858041458
357	0.5	13852.910078829154
358	0.0	21544.338515610434
359	0.0	22382.149187731557
360	0.0	13414.117772947066
361	0.25	22607.272612707067
362	0.25	30138.65580363199
363	0.0	5537.693547899835
364	0.0	30628.242491162382
365	1.0	-1
366	0.0	10074.826267082244
367	0.25	43931.14414609348
368	0.0	17916.63830028847
369	0.0	21744.704672135413
370	0.0	20881.41375069972
371	0.0	11410.366652184166
372	0.25	63180.94761297107
373	0.0	7763.409913866781
374	0.25	43577.202315907925
375	0.5	18821.673785336316
376	0.25	37992.26812537139
377	0.0	43757.10143393371
378	0.0	24455.669533694163
379	0.75	12197.077323216945
380	0.25	55627.004334858306
381	0.25	51321.792186548315
382	0.5	42257.16610648669
383	0.25	45293.26872061938
384	1.0	-1
385	0.0	11790.903768967837
386	0.0	27877.627203590237
387	0.0	14358.680516132154
388	1.0	-1
389	1.0	-1
390	0.75	71982.23636997864
391	0.25	48779.95742174486
392	1.0	-1
393	0.25	34389.59198010465
394	0.25	24407.801222987473
395	1.0	-1
396	0.5	32623.789608478546
397	0.5	4919.0328400582075
398	1.0	-1
399	0.0	10229.875080753118
400	0.0	42702.42964068893
401	0.25	27331.758089829236
402	0.0	28996.42504786607
403	0.0	8379.689150373451
404	1.0	-1
405	0.5	49795.96740799025
406	0.0	39368.12848097179
407	0.0	13017.965289996937
408	0.0	11795.848349342123
409	0.25	29078.40457651764
410	0.25	26029.18660702805
411	0.0	19235.800482798368
412	0.75	22917.941187042743
413	0.0	21900.768820545636
414	0.0	38874.028823454864
415	0.0	42720.443099271506
416	0.0	15415.710300090723
417	0.0	24018.046605749987
418	0.0	38345.67279962357
419	0.0	4858.112120768055
420	1.0	-1
421	0.0	13379.231523373164
422	0.0	18000.55912625976
423	0.0	9490.34962092992
424	0.5	30461.743485182524
425	0.0	27357.30530123692
426	0.25	6886.989868866901
427	0.0	9593.693682341836
428	1.0	-1
429	0.5	30316.16931105964
430	0.0	46989.960783859715
431	0.0	22817.242589546368
432	0.0	43766.5816367371
433	0.0	42651.28794580232
434	0.75	28141.97186473757
435	0.0	11427.38101631403
436	0.0	27616.97184748482
437	0.25	11359.489594275752
438	0.0	25236.065819277428
439	0.75	29488.657821901143
440	0.0	28724.948534509167
441	1.0	-1
442	0.0	10973.27475657221
443	0.25	54476.659278851
444	0.0	43047.21353284549
445	1.0	-1
446	0.0	20776.627544662915
447	0.0	50610.62460322864
448	0.25	19435.917729356635
449	0.0	28832.66614296008
450	0.0	31645.427744369954
451	0.25	28643.62624535958
452	1.0	-1
453	1.0	-1
454	0.25	30030.912077830482
455	0.0	30195.87038643658
456	0.0	30079.892016830854
457	0.25	8323.848956264555
458	0.25	59109.307524282485
459	0.25	29853.864699446905
460	0.0	52854.77121034637
461	0.0	40918.04300446529
462	0.25	24191.863858761888
463	0.0	16150.657904916443
464	0.0	24777.29759691283
465	1.0	-1
466	0.0	17820.538677391596
467	0.5	36956.53331768699
468	0.0	22671.71618482098
469	0.25	12151.604558496425
470	1.0	-1
471	0.0	13893.356421845965
472	0.0	12367.768560536206
473	0.25	33434.318939223886
474	0.5	35689.621835015714
475	1.0	-1
476	0.0	7206.5893589751795
477	0.0	29103.843218646944
478	0.0	9888.733251718804
479	0.25	29355.78653262928
480	0.0	26301.225766190328
481	0.75	83498.82323015481
482	0.0	14495.861706673168
